time,open,high,low,close,tick_volume,tick_volume,spread
2025-10-24 21:40:00+00:00,4111.71,4112.03,4108.85,4109.49,1106,0,21
2025-10-24 21:45:00+00:00,4109.55,4109.78,4103.55,4104.1,2322,0,15
2025-10-24 21:50:00+00:00,4104.09,4106.02,4102.39,4105.05,1433,0,20
2025-10-24 21:55:00+00:00,4105.05,4107.61,4102.68,4103.89,1203,0,24
2025-10-26 23:05:00+00:00,4082.96,4091.7,4073.89,4088.88,1731,0,33
2025-10-26 23:10:00+00:00,4088.88,4107.62,4088.8,4104.79,1994,0,53
2025-10-26 23:15:00+00:00,4104.79,4109.03,4100.53,4105.48,1320,0,76
2025-10-26 23:20:00+00:00,4105.47,4105.47,4100.48,4101.46,880,0,71
2025-10-26 23:25:00+00:00,4101.44,4102.24,4091.28,4091.76,1093,0,49
2025-10-26 23:30:00+00:00,4091.76,4099.74,4090.02,4098.35,1437,0,41
2025-10-26 23:35:00+00:00,4098.27,4100.43,4093.36,4094.23,847,0,36
2025-10-26 23:40:00+00:00,4094.19,4096.66,4080.14,4080.45,1149,0,31
2025-10-26 23:45:00+00:00,4080.4,4084.19,4072.05,4078.44,1754,0,26
2025-10-26 23:50:00+00:00,4078.46,4080.6,4072.7,4076.02,740,0,46
2025-10-26 23:55:00+00:00,4076.01,4085.18,4076.01,4082.86,742,0,45
2025-10-27 00:00:00+00:00,4084.36,4088.72,4079.22,4083.12,905,0,50
2025-10-27 00:05:00+00:00,4083.12,4088.51,4080.92,4085.3,765,0,34
2025-10-27 00:10:00+00:00,4085.3,4085.83,4082.09,4082.83,510,0,51
2025-10-27 00:15:00+00:00,4082.83,4086.55,4082.27,4083.53,483,0,36
2025-10-27 00:20:00+00:00,4083.19,4084.99,4078.48,4080.45,589,0,27
2025-10-27 00:25:00+00:00,4080.45,4081.86,4073.32,4074.8,800,0,35
2025-10-27 00:30:00+00:00,4074.8,4080.49,4073.69,4079.69,855,0,30
2025-10-27 00:35:00+00:00,4079.72,4079.77,4067.43,4069.91,1202,0,22
2025-10-27 00:40:00+00:00,4070.56,4072.4,4064.29,4067.53,990,0,39
2025-10-27 00:45:00+00:00,4067.56,4070.02,4061.73,4065.03,1049,0,12
2025-10-27 00:50:00+00:00,4065.03,4071.24,4064.28,4070.02,966,0,23
2025-10-27 00:55:00+00:00,4070.12,4070.43,4062.29,4064.65,1046,0,27
2025-10-27 01:00:00+00:00,4064.65,4067.92,4058.25,4064.42,1656,0,11
2025-10-27 01:05:00+00:00,4064.42,4072.62,4062.15,4071.24,1072,0,23
2025-10-27 01:10:00+00:00,4071.19,4072.46,4068.05,4069.4,816,0,16
2025-10-27 01:15:00+00:00,4069.58,4071.77,4064.2,4064.31,839,0,29
2025-10-27 01:20:00+00:00,4064.31,4068.2,4062.48,4065.61,1054,0,33
2025-10-27 01:25:00+00:00,4065.55,4068.5,4063.2,4067.92,703,0,39
2025-10-27 01:30:00+00:00,4067.64,4077.17,4067.58,4077.01,1104,0,17
2025-10-27 01:35:00+00:00,4077.01,4077.07,4073.99,4075.49,860,0,23
2025-10-27 01:40:00+00:00,4075.49,4076.56,4071.96,4075.24,1028,0,38
2025-10-27 01:45:00+00:00,4075.23,4079.13,4074.59,4077.18,1175,0,14
2025-10-27 01:50:00+00:00,4077.37,4079.37,4076.34,4077.52,1081,0,28
2025-10-27 01:55:00+00:00,4077.48,4084.42,4076.38,4081.25,1439,0,11
2025-10-27 02:00:00+00:00,4081.3,4084.24,4075.09,4081.66,2534,0,19
2025-10-27 02:05:00+00:00,4081.65,4096.35,4080.25,4094.39,2270,0,17
2025-10-27 02:10:00+00:00,4094.39,4096.15,4089.25,4090.34,1725,0,20
2025-10-27 02:15:00+00:00,4090.37,4094.58,4088.99,4091.07,1656,0,23
2025-10-27 02:20:00+00:00,4091.05,4094.35,4090.51,4093.93,1359,0,25
2025-10-27 02:25:00+00:00,4093.89,4097.93,4092.92,4093.69,1585,0,13
2025-10-27 02:30:00+00:00,4093.57,4094.15,4085.2,4088.1,1714,0,34
2025-10-27 02:35:00+00:00,4088.1,4090.05,4081.47,4087.4,1997,0,19
2025-10-27 02:40:00+00:00,4087.4,4088.27,4081.7,4088.27,1270,0,34
2025-10-27 02:45:00+00:00,4088.3,4090.71,4085.67,4086.84,1310,0,30
2025-10-27 02:50:00+00:00,4086.76,4086.83,4083.1,4084.14,1410,0,1
2025-10-27 02:55:00+00:00,4084.13,4086.66,4081.52,4082.02,1336,0,22
2025-10-27 03:00:00+00:00,4081.86,4082.34,4076.02,4076.71,1561,0,20
2025-10-27 03:05:00+00:00,4076.71,4078.33,4071.72,4075.3,1542,0,10
2025-10-27 03:10:00+00:00,4075.25,4079.31,4072.19,4078.61,1127,0,21
2025-10-27 03:15:00+00:00,4078.61,4081.6,4074.49,4075.55,1123,0,3
2025-10-27 03:20:00+00:00,4075.54,4076.35,4071.72,4072.22,983,0,15
2025-10-27 03:25:00+00:00,4072.21,4074.15,4071.39,4073.13,842,0,13
2025-10-27 03:30:00+00:00,4073.11,4074.91,4071.96,4073.73,1307,0,23
2025-10-27 03:35:00+00:00,4073.73,4076.7,4072.63,4076.49,1133,0,23
2025-10-27 03:40:00+00:00,4076.49,4079.46,4075.95,4078.22,1145,0,20
2025-10-27 03:45:00+00:00,4078.23,4078.23,4071.27,4071.91,1044,0,32
2025-10-27 03:50:00+00:00,4071.91,4076.8,4071.25,4074.28,1136,0,31
2025-10-27 03:55:00+00:00,4074.28,4074.34,4070.32,4071.73,891,0,26
2025-10-27 04:00:00+00:00,4071.72,4072.11,4065.39,4069.85,1383,0,9
2025-10-27 04:05:00+00:00,4069.84,4075.81,4069.84,4075.02,1201,0,8
2025-10-27 04:10:00+00:00,4075.02,4076.8,4074.19,4075.49,1187,0,12
2025-10-27 04:15:00+00:00,4075.49,4075.51,4070.35,4073.74,1125,0,24
2025-10-27 04:20:00+00:00,4073.74,4077.31,4073.73,4076.26,1201,0,23
2025-10-27 04:25:00+00:00,4076.36,4079.37,4075.82,4077.2,1121,0,27
2025-10-27 04:30:00+00:00,4077.2,4077.64,4075.26,4075.84,676,0,26
2025-10-27 04:35:00+00:00,4075.84,4080.95,4075.48,4080.0,1015,0,12
2025-10-27 04:40:00+00:00,4080.03,4081.88,4079.15,4080.29,962,0,17
2025-10-27 04:45:00+00:00,4080.2,4080.39,4078.6,4079.69,640,0,30
2025-10-27 04:50:00+00:00,4079.73,4079.9,4073.46,4073.59,639,0,43
2025-10-27 04:55:00+00:00,4073.36,4073.36,4068.98,4069.78,1001,0,12
2025-10-27 05:00:00+00:00,4069.75,4069.76,4061.42,4061.47,1293,0,1
2025-10-27 05:05:00+00:00,4061.45,4061.65,4053.76,4056.54,1491,0,26
2025-10-27 05:10:00+00:00,4056.62,4058.73,4055.26,4057.62,1075,0,20
2025-10-27 05:15:00+00:00,4057.72,4060.8,4054.54,4060.23,1427,0,1
2025-10-27 05:20:00+00:00,4060.23,4063.6,4059.97,4063.28,1004,0,21
2025-10-27 05:25:00+00:00,4063.28,4065.45,4062.45,4062.75,1101,0,8
2025-10-27 05:30:00+00:00,4063.16,4065.21,4059.01,4064.01,1022,0,10
2025-10-27 05:35:00+00:00,4064.01,4064.96,4060.55,4060.55,1050,0,16
2025-10-27 05:40:00+00:00,4060.54,4061.17,4058.13,4060.74,1265,0,19
2025-10-27 05:45:00+00:00,4060.76,4065.45,4060.18,4065.16,1124,0,6
2025-10-27 05:50:00+00:00,4065.16,4070.25,4062.35,4068.71,1285,0,5
2025-10-27 05:55:00+00:00,4068.74,4071.59,4067.44,4068.86,958,0,32
2025-10-27 06:00:00+00:00,4068.84,4073.15,4068.71,4072.23,788,0,3
2025-10-27 06:05:00+00:00,4072.23,4072.66,4070.04,4072.18,859,0,16
2025-10-27 06:10:00+00:00,4072.18,4075.05,4071.35,4073.76,684,0,18
2025-10-27 06:15:00+00:00,4073.63,4075.29,4073.13,4074.31,622,0,31
